['1' '4' '1' '1' '86' '27' '10']
['1' '0' '1' '0' '76' '1300' '5']
['0' '4' '0' '4' '67' '84' '5']
['0' '2' '1' '1' '76' '104' '6']
['0' '0' '0' '1' '55' '800' '2']
['1' '2' '1' '1' '69' '400' '9']
['0' '2' '0' '1' '56' '400' '5']
['1' '4' '0' '0' '67' '270' '3']
['1' '1' '0' '0' '66' '500' '8']
['0' '4' '1' '2' '82' '27' '3']
['0' '4' '1' '0' '86' '3000' '6']
['1' '4' '1' '4' '87' '3000' '9']
['0' '4' '1' '4' '89' '400' '6']
['1' '4' '1' '1' '65' '350' '9']
['1' '4' '1' '3' '57' '58' '3']
['0' '4' '1' '1' '76' '38' '7']
['0' '4' '1' '1' '68' '430' '3']
['1' '4' '1' '4' '73' '1400' '10']
['1' '4' '1' '0' '76' '1300' '5']
['1' '0' '1' '3' '71' '150' '5']
['0' '0' '1' '4' '80' '248' '3']
['1' '0' '1' '4' '63' '1700' '5']
['1' '0' '1' '1' '89' '430' '5']
['0' '0' '1' '0' '87' '3000' '9']
['0' '0' '1' '4' '80' '135' '6']
['1' '0' '1' '4' '60' '430' '3']
['1' '0' '1' '1' '55' '65' '3']
['0' '0' '1' '0' '66' '290' '8']
['1' '0' '1' '1' '77' '130' '6']
['0' '1' '0' '0' '87' '3500' '8']
['1' '1' '0' '4' '66' '240' '9']
['0' '1' '0' '0' '83' '30' '8']
['1' '1' '0' '2' '55' '700' '6']
['0' '1' '0' '3' '80' '380' '2']
['1' '1' '0' '2' '56' '179' '8']
['1' '1' '0' '1' '68' '9' '9']
['0' '1' '0' '1' '67' '530' '3']
['0' '1' '0' '0' '76' '22' '3']
['1' '1' '0' '4' '90' '52' '2']
['1' '1' '0' '0' '74' '340' '6']
['1' '2' '0' '0' '76' '17' '6']
['1' '1' '1' '4' '89' '430' '9']
['1' '1' '1' '4' '85' '540' '2']
['0' '1' '0' '4' '56' '230' '5']
['1' '4' '1' '1' '87' '16' '2']
['0' '4' '0' '3' '61' '1050' '3']
['1' '2' '1' '3' '69' '215' '7']
['0' '2' '0' '2' '56' '200' '6']
['0' '0' '1' '1' '74' '276' '6']
['1' '2' '1' '3' '74' '58' '3']
['1' '2' '1' '1' '68' '650' '8']
['1' '2' '1' '1' '71' '146' '2']
['1' '2' '1' '0' '56' '280' '9']
['1' '2' '1' '4' '55' '750' '5']
['1' '2' '1' '2' '55' '1100' '10']
['1' '2' '1' '3' '66' '44' '8']
['1' '2' '1' '0' '76' '1365' '3']
['1' '0' '0' '3' '58' '870' '10']
['1' '2' '0' '1' '55' '300' '2']
['1' '1' '0' '4' '58' '2200' '6']
